Problem Set Id,Problem Part,Problem Type,Answer Types,Problem Body,Fill-in Options,Fill-in Answers,Multiple Choice Options,Multiple Choice Answers,problem_id
PSB6N4,1,Fill-in-the-blank(s),Numeric,"<p>28 is 7 times what number?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",4,4,,,151389
PSBM5G,2,Fill-in-the-blank(s),Numeric,"<p>Evaluate 10<sup>3</sup>.</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>","1,000","1,000",,,58180
PSBM5G,1,Fill-in-the-blank(s),Numeric,"<p>Evaluate 5<sup>3</sup>&nbsp;&sdot; 2<sup>3</sup>.</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>","1,000","1,000",,,58041
PSBB9,1,Fill-in-the-blank(s),Numeric,"<p>There are 12 inches in 1 foot and 5,280 feet in 1 mile. Jada ran&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>3</mn><mfrac><mn>1</mn><mn>4</mn></mfrac></math>&nbsp;miles.</p>
<p>&nbsp;</p>
<p>How many feet is that? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> feet</p>",17160,17160,,,95
PSBCC,1,Fill-in-the-blank(s),Numeric,"<p>Given the equation&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>y</mi><mo>&#160;</mo><mo>=</mo><mo>&#160;</mo><mo>&#8208;</mo><mn>3</mn><mi>x</mi><mo>&#160;</mo><mo>+</mo><mo>&#160;</mo><mn>2</mn><mo>.</mo><mn>5</mn></math>:</p>
<p>&nbsp;</p>
<p>When&nbsp;<em>x</em>&nbsp;is 1, what value of&nbsp;<em>y</em>&nbsp;makes the equation true?</p>
<div style=""position: absolute; left: 195px; top: 46.9716px;"">&nbsp;</div>
<p>&nbsp;</p>
<p>y =<ast-r type=""text"" marker=""1""></ast-r></p>",-0.5,-0.5,,,93
PSBFF,1,Fill-in-the-blank(s),Drop Down,"<p>Diego has $11 and begins saving $5 each week toward buying a new phone. At the same time that Diego begins saving, Lin has $60 and begins spending $2 per week on supplies for her art class.</p>
<p>&nbsp;</p>
<p>Is there a week when they have the same amount of money?&nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""dropdown"" marker=""1""></ast-r></p>","<p>No</p>, <p>Yes</p>",<p>Yes</p>,,,253
PRABQMA9,1,Fill-in-the-blank(s),Numeric,"<p>Divide.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>4</mn><mn>9</mn></mfrac><mo>&#247;</mo><mfrac><mn>8</mn><mn>15</mn></mfrac></math></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",6-May,6-May,,,320140
PSBXG,2,Fill-in-the-blank(s),Numeric,"<p>What is the scale factor?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",3,3,,,2532
PRABG43A,1,Fill-in-the-blank(s),Algebraic Expression,"<p>Factor to write an equivalent expression:&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>26</mn><mi>a</mi><mo>-</mo><mn>10</mn></math></p>
<p>&nbsp;</p>
<p>If you get stuck, use a diagram to organize your work.</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",2(13a-5),2(13a-5),,,3056
PSBB5WF,3,Fill-in-the-blank(s),Numeric,"<p>Lin&rsquo;s second pan has a length of&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>8</mn><mn>3</mn></mfrac></math>&nbsp;inches, a width of&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>15</mn><mn>4</mn></mfrac></math>&nbsp;inches, and a height of&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>3</mn><mn>2</mn></mfrac></math> inches. What is the volume of the second pan? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r>&nbsp;cubic inches</p>",15,15,,,319193
PSBBEUD,3,Fill-in-the-blank(s),Numeric,"<p>How many days of the week is Noah considering?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r>days of the week</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/188759.jpg"" alt=""The image is a decision tree diagram with three main branches labeled &quot;space,&quot; &quot;safari,&quot; and &quot;comics.&quot; Each branch splits into two sub-branches: &quot;skating rink&quot; and &quot;park.&quot; From each sub-branch, there are three additional branches pointing to the days &quot;Fri,&quot; &quot;Sat,&quot; and &quot;Sun.&quot;"" width=""369"" height=""534""></p>",3,3,,,195315
PSBYY,4,Fill-in-the-blank(s),Numeric,"<p>Evaluate the expression.</p>
<p>&nbsp;</p>
<p>6.08 + 2.02</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",8.1,8.1,,,3036
PSBYY,5,Fill-in-the-blank(s),Numeric,"<p>Evaluate the expression.</p>
<p>&nbsp;</p>
<p>35 - 0.02</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",34.98,34.98,,,3201
PSBYY,2,Fill-in-the-blank(s),Numeric,"<p>Evaluate the expression.</p>
<p>&nbsp;</p>
<p>7 - 0.18</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",6.82,6.82,,,2812
PSBYY,3,Fill-in-the-blank(s),Numeric,"<p>Evaluate the expression.</p>
<p>&nbsp;</p>
<p>13.23 + 2.67</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",15.9,15.9,,,2930
PSBYY,1,Fill-in-the-blank(s),Numeric,"<p>Evaluate the expression.</p>
<p>&nbsp;</p>
<p>11 - 4.9&nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",6.1,6.1,,,2695
